New_Commits,New_Issue,ComS,OrgS,SupS,TypS,ID,Pno
49,9,0.102040816,0.020408163,0.619047619,0.258503401,1,5
74,13,0.075555556,0.017777778,0.648888889,0.257777778,2,5
42,9,0.086666667,0.02,0.613333333,0.28,3,5
69,14,0.050314465,0.012578616,0.528301887,0.408805031,4,5
136,8,0.054644809,0.010928962,0.576502732,0.357923497,5,5
91,16,0.06122449,0.017006803,0.636054422,0.285714286,6,5
60,14,0.078175896,0.029315961,0.697068404,0.195439739,7,5
46,19,0.146067416,0.029962547,0.65917603,0.164794007,8,5
122,16,0.089635854,0.016806723,0.565826331,0.327731092,9,5
81,16,0.086092715,0.013245033,0.685430464,0.215231788,10,5
52,19,0.14379085,0.019607843,0.676470588,0.160130719,11,5
51,17,0.103703704,0.025925926,0.725925926,0.144444444,12,5
89,25,0.123134328,0.050373134,0.679104478,0.14738806,13,5
0,18,0.152849741,0.038860104,0.805699482,0.002590674,14,5
0,25,0.151419558,0.066246057,0.779179811,0.003154574,15,5
0,16,0.133064516,0.068548387,0.794354839,0.004032258,16,5
0,20,0.124579125,0.04040404,0.831649832,0.003367003,17,5
392,18,0.042176871,0.021768707,0.413605442,0.52244898,18,5
140,9,0.115384615,0.046153846,0.494871795,0.343589744,19,5
131,18,0.094091904,0.041575492,0.606126915,0.258205689,20,5
103,19,0.099514563,0.048543689,0.645631068,0.20631068,21,5
108,34,0.102040816,0.054421769,0.681972789,0.161564626,22,5
99,21,0.095238095,0.057539683,0.68452381,0.162698413,23,5
99,40,0.104377104,0.042087542,0.712121212,0.141414141,24,5
153,32,0.106598985,0.041878173,0.70177665,0.149746193,25,5
98,19,0.151969981,0.039399625,0.649155722,0.159474672,26,5
121,33,0.110764431,0.060842434,0.666146646,0.16224649,27,5
72,20,0.160142349,0.03202847,0.699288256,0.108540925,28,5
115,26,0.147453083,0.045576408,0.672922252,0.134048257,29,5
183,22,0.103857567,0.03264095,0.623145401,0.240356083,30,5
136,20,0.120879121,0.028257457,0.640502355,0.210361068,31,5
199,21,0.105937136,0.020954598,0.658905704,0.214202561,32,5
162,21,0.087378641,0.042071197,0.63592233,0.234627832,33,5
134,21,0.084479371,0.05108055,0.660117878,0.2043222,34,5
183,25,0.131339402,0.058517555,0.590377113,0.21976593,35,5
191,41,0.086614173,0.062992126,0.565354331,0.28503937,36,5
86,1,0,0,0.2,0.8,1,6
71,0,0,0,0.125,0.875,2,6
61,2,0.1875,0,0.59375,0.21875,3,6
28,0,0,0,1,0,4,6
46,0,0.407407407,0,0.555555556,0.037037037,5,6
57,2,0.304054054,0,0.533783784,0.162162162,6,6
42,0,0.260869565,0,0.260869565,0.47826087,7,6
56,1,0.283018868,0,0.452830189,0.264150943,8,6
77,0,0.247933884,0.008264463,0.404958678,0.338842975,9,6
34,1,0.25,0,0.25,0.5,10,6
55,1,0.209677419,0,0.370967742,0.419354839,11,6
36,1,0.142857143,0,0.285714286,0.571428571,12,6
54,0,0.235294118,0,0.31372549,0.450980392,13,6
72,1,0.292134831,0,0.533707865,0.174157303,14,6
56,0,0.285714286,0,0.4,0.314285714,15,6
82,2,0.178571429,0.005952381,0.535714286,0.279761905,16,6
103,0,0.218390805,0,0.390804598,0.390804598,17,6
41,3,0.320855615,0,0.486631016,0.192513369,18,6
75,1,0.228070175,0,0.368421053,0.403508772,19,6
60,3,0.231884058,0.014492754,0.369565217,0.384057971,20,6
78,1,0.201550388,0.015503876,0.255813953,0.527131783,21,6
71,1,0.153061224,0,0.306122449,0.540816327,22,6
62,0,0.090909091,0,0.227272727,0.681818182,23,6
70,1,0.2,0.015384615,0.215384615,0.569230769,24,6
76,1,0.109090909,0,0.163636364,0.727272727,25,6
102,1,0.102040816,0,0.244897959,0.653061224,26,6
116,1,0.159292035,0.03539823,0.336283186,0.469026549,27,6
66,1,0.254098361,0.016393443,0.532786885,0.196721311,28,6
60,0,0.180952381,0.047619048,0.295238095,0.476190476,29,6
32,1,0.293103448,0,0.431034483,0.275862069,30,6
145,0,0.129770992,0.007633588,0.190839695,0.671755725,31,6
56,1,0.245098039,0,0.37254902,0.382352941,32,6
67,0,0.135135135,0.027027027,0.202702703,0.635135135,33,6
64,0,0.1,0.014285714,0.271428571,0.614285714,34,6
47,0,0.14893617,0,0.191489362,0.659574468,35,6
70,0,0.185185185,0,0.351851852,0.462962963,36,6
63,1,0.091603053,0.015267176,0.526717557,0.366412214,1,8
62,4,0.104347826,0.017391304,0.443478261,0.434782609,2,8
35,3,0.163934426,0.032786885,0.606557377,0.196721311,3,8
52,1,0.039735099,0.033112583,0.791390728,0.135761589,4,8
33,0,0.064935065,0.073593074,0.783549784,0.077922078,5,8
75,3,0.046242775,0.046242775,0.589595376,0.317919075,6,8
32,4,0.091703057,0.061135371,0.746724891,0.100436681,7,8
58,4,0.129310345,0.00862069,0.465517241,0.396551724,8,8
24,4,0.106951872,0.032085561,0.79144385,0.069518717,9,8
53,2,0.050397878,0.076923077,0.766578249,0.106100796,10,8
32,6,0.124137931,0,0.779310345,0.096551724,11,8
56,3,0.108527132,0.015503876,0.558139535,0.317829457,12,8
52,10,0.084577114,0.059701493,0.691542289,0.164179104,13,8
98,1,0.060344828,0.034482759,0.668103448,0.237068966,14,8
62,4,0.119815668,0.050691244,0.589861751,0.239631336,15,8
42,1,0.181818182,0.027272727,0.618181818,0.172727273,16,8
26,3,0.125,0.013888889,0.680555556,0.180555556,17,8
68,5,0.173469388,0.071428571,0.62244898,0.132653061,18,8
63,2,0.13253012,0.072289157,0.590361446,0.204819277,19,8
94,1,0.102941176,0.117647059,0.661764706,0.117647059,20,8
88,1,0.134920635,0.03968254,0.626984127,0.198412698,21,8
53,4,0.082278481,0.03164557,0.715189873,0.170886076,22,8
52,4,0.14213198,0.055837563,0.654822335,0.147208122,23,8
39,4,0.201388889,0.069444444,0.583333333,0.145833333,24,8
37,5,0.19047619,0.027210884,0.666666667,0.115646259,25,8
43,1,0.180952381,0.076190476,0.428571429,0.314285714,26,8
62,3,0.22147651,0.040268456,0.563758389,0.174496644,27,8
53,5,0.215189873,0.088607595,0.405063291,0.291139241,28,8
65,0,0.154411765,0.022058824,0.448529412,0.375,29,8
53,2,0.172727273,0.018181818,0.454545455,0.354545455,30,8
50,3,0.120218579,0.120218579,0.628415301,0.131147541,31,8
41,2,0.194117647,0.076470588,0.605882353,0.123529412,32,8
55,2,0.078481013,0.265822785,0.574683544,0.081012658,33,8
50,8,0.094292804,0.253101737,0.58808933,0.064516129,34,8
57,3,0.110526316,0.073684211,0.615789474,0.2,35,8
86,1,0.069565217,0.069565217,0.486956522,0.373913043,36,8
39,2,0.118811881,0,0.514851485,0.366336634,1,9
10,3,0.166666667,0.020833333,0.604166667,0.208333333,2,9
52,8,0.157142857,0,0.592857143,0.25,3,9
10,1,0.114754098,0,0.754098361,0.131147541,4,9
14,3,0.207792208,0,0.675324675,0.116883117,5,9
18,2,0.070351759,0.005025126,0.874371859,0.050251256,6,9
19,8,0.184782609,0,0.695652174,0.119565217,7,9
2,6,0.347826087,0,0.652173913,0,8,9
25,5,0.111111111,0.009259259,0.666666667,0.212962963,9,9
18,4,0.194444444,0,0.708333333,0.097222222,10,9
0,2,0.5,0,0.454545455,0.045454545,11,9
13,3,0.140350877,0,0.701754386,0.157894737,12,9
36,1,0.055555556,0.018518519,0.657407407,0.268518519,13,9
24,2,0.137254902,0.019607843,0.607843137,0.235294118,14,9
4,2,0.272727273,0,0.727272727,0,15,9
61,4,0.052631579,0,0.703349282,0.244019139,16,9
2,3,0.45,0,0.55,0,17,9
4,1,0.4,0,0.6,0,18,9
8,6,0.318181818,0,0.681818182,0,19,9
2,3,0.545454545,0,0.454545455,0,20,9
1,4,0.235294118,0,0.764705882,0,21,9
0,1,0.3,0,0.7,0,22,9
0,1,0.5,0,0.5,0,23,9
42,1,0.105555556,0.005555556,0.827777778,0.061111111,24,9
5,5,0.15,0,0.85,0,25,9
38,3,0.102439024,0.014634146,0.746341463,0.136585366,26,9
110,8,0.027916251,0.002991027,0.87337986,0.095712861,27,9
2,3,0.4,0,0.6,0,28,9
6,3,0.19047619,0,0.80952381,0,29,9
3,6,0.1875,0,0.8125,0,30,9
1,1,0.421052632,0,0.578947368,0,31,9
2,4,0.428571429,0,0.571428571,0,32,9
50,0,0.071090047,0.009478673,0.796208531,0.123222749,33,9
98,15,0.061823802,0,0.809891808,0.128284389,34,9
5,4,0.28125,0,0.53125,0.1875,35,9
0,1,0.222222222,0,0.777777778,0,36,9
12,0,0.26984127,0.015873016,0.603174603,0.111111111,1,10
27,5,0.307692308,0.025641026,0.564102564,0.102564103,2,10
31,0,0.138297872,0.010638298,0.670212766,0.180851064,3,10
6,1,0.177419355,0,0.790322581,0.032258065,4,10
63,6,0.117948718,0.020512821,0.682051282,0.179487179,5,10
68,3,0.122340426,0.010638298,0.611702128,0.255319149,6,10
32,4,0.161290323,0.021505376,0.623655914,0.193548387,7,10
31,2,0.133333333,0.026666667,0.66,0.18,8,10
68,7,0.092896175,0.010928962,0.617486339,0.278688525,9,10
84,6,0.162162162,0.009009009,0.68018018,0.148648649,10,10
19,4,0.255681818,0,0.659090909,0.085227273,11,10
20,3,0.263513514,0,0.668918919,0.067567568,12,10
15,5,0.265151515,0.007575758,0.659090909,0.068181818,13,10
68,5,0.212938005,0.008086253,0.614555256,0.164420485,14,10
57,13,0.256140351,0.00877193,0.666666667,0.068421053,15,10
53,8,0.268181818,0.004545455,0.656818182,0.070454545,16,10
63,8,0.319474836,0.004376368,0.588621444,0.087527352,17,10
100,6,0.147163121,0.007092199,0.725177305,0.120567376,18,10
88,4,0.118811881,0.00660066,0.735973597,0.138613861,19,10
116,19,0.14251497,0.004790419,0.750898204,0.101796407,20,10
188,45,0.127693536,0.032721468,0.737430168,0.102154828,21,10
82,20,0.167539267,0.001308901,0.793193717,0.037958115,22,10
68,23,0.183254344,0.009478673,0.748815166,0.058451817,23,10
95,28,0.177232447,0.025221541,0.750511247,0.047034765,24,10
133,19,0.184029944,0.023081722,0.737367436,0.055520898,25,10
134,23,0.170588235,0.011764706,0.771323529,0.046323529,26,10
102,17,0.200900901,0.009009009,0.746846847,0.043243243,27,10
94,25,0.152317881,0.032166509,0.75307474,0.06244087,28,10
126,29,0.14624183,0.012254902,0.785947712,0.055555556,29,10
106,48,0.157094595,0.02027027,0.777871622,0.044763514,30,10
105,26,0.124485597,0.022633745,0.78600823,0.066872428,31,10
110,30,0.165605096,0.019904459,0.779458599,0.035031847,32,10
67,23,0.179791976,0.008915305,0.771173848,0.040118871,33,10
109,37,0.168389956,0.026587888,0.750369276,0.05465288,34,10
71,32,0.196721311,0.045323047,0.711668274,0.046287367,35,10
81,30,0.183304647,0.033562823,0.731497418,0.051635112,36,10
33,1,0,0.025,0.225,0.75,1,11
139,5,0.015306122,0.015306122,0.275510204,0.693877551,2,11
73,1,0.058823529,0.009803922,0.235294118,0.696078431,3,11
72,3,0.048543689,0.029126214,0.242718447,0.67961165,4,11
57,1,0.012345679,0,0.320987654,0.666666667,5,11
42,1,0.103448276,0,0.459770115,0.436781609,6,11
48,1,0.082352941,0,0.352941176,0.564705882,7,11
141,3,0.023668639,0,0.307692308,0.668639053,8,11
39,2,0.119402985,0.014925373,0.388059701,0.47761194,9,11
25,1,0.098360656,0.032786885,0.442622951,0.426229508,10,11
26,1,0.224489796,0.040816327,0.306122449,0.428571429,11,11
69,0,0.064814815,0.013888889,0.601851852,0.319444444,12,11
94,2,0.079207921,0.079207921,0.381188119,0.46039604,13,11
172,4,0.027586207,0.044827586,0.34137931,0.586206897,14,11
50,4,0.090909091,0.011363636,0.375,0.522727273,15,11
39,6,0.056818182,0.056818182,0.465909091,0.420454545,16,11
64,3,0.054054054,0.009009009,0.522522523,0.414414414,17,11
101,6,0.051020408,0.040816327,0.413265306,0.494897959,18,11
67,11,0.087412587,0.041958042,0.63986014,0.230769231,19,11
92,4,0.015625,0.0625,0.4375,0.484375,20,11
35,2,0.107142857,0.047619048,0.428571429,0.416666667,21,11
126,4,0.058252427,0.024271845,0.32038835,0.597087379,22,11
