New_Commits,New_Issue,ComS,OrgS,SupS,TypS,ID,Pno
204,5,0.028776978,0.082733813,0.251798561,0.636690647,1,1
266,13,0.039697543,0.06805293,0.446124764,0.446124764,2,1
380,10,0.040425532,0.046808511,0.581914894,0.330851064,3,1
364,15,0.050343249,0.033180778,0.580091533,0.336384439,4,1
112,45,0.118687959,0.014674148,0.819594303,0.047043591,5,1
113,15,0.073770492,0.031762295,0.821721311,0.072745902,6,1
289,40,0.058768657,0.029384328,0.796641791,0.115205224,7,1
85,18,0.094928479,0.019505852,0.808842653,0.076723017,8,1
69,13,0.147810219,0.031021898,0.715328467,0.105839416,9,1
35,4,0.128065395,0.019073569,0.782016349,0.070844687,10,1
75,12,0.106280193,0.014492754,0.777777778,0.101449275,11,1
170,24,0.080061586,0.006928406,0.816012317,0.096997691,12,1
89,7,0.088421053,0.027368421,0.709473684,0.174736842,13,1
67,6,0.089108911,0.02970297,0.742574257,0.138613861,14,1
90,17,0.065019506,0.031209363,0.802340702,0.101430429,15,1
49,9,0.226775956,0.008196721,0.677595628,0.087431694,16,1
123,4,0.148214286,0.008928571,0.6625,0.180357143,17,1
144,17,0.112343967,0.006934813,0.723994452,0.156726768,18,1
172,16,0.111480865,0.001663894,0.662229617,0.224625624,19,1
116,11,0.125217391,0.022608696,0.692173913,0.16,20,1
120,6,0.182344428,0.026049204,0.628075253,0.163531114,21,1
196,17,0.114882507,0.016971279,0.651436031,0.216710183,22,1
110,7,0.118609407,0.008179959,0.689161554,0.18404908,23,1
140,15,0.098330241,0.011131725,0.660482375,0.230055659,24,1
132,3,0.115207373,0.006912442,0.629032258,0.248847926,25,1
174,6,0.149068323,0.011180124,0.647204969,0.192546584,26,1
69,6,0.127413127,0,0.617760618,0.254826255,27,1
129,6,0.069042316,0.0155902,0.64142539,0.273942094,28,1
23,3,0.148471616,0,0.777292576,0.074235808,29,1
41,4,0.145038168,0,0.58778626,0.267175573,30,1
178,18,0.06547619,0.013888889,0.636904762,0.283730159,31,1
83,5,0.148148148,0.018518519,0.585185185,0.248148148,32,1
65,3,0.158333333,0,0.629166667,0.2125,33,1
92,7,0.079831933,0.012605042,0.634453782,0.273109244,34,1
37,3,0.11965812,0,0.658119658,0.222222222,35,1
