Project,Time,ID,ComS,OrgS,SupS,BCT,BFR,Pno,Tno,BCTM
ExoPlayer,201501,1,0.102,0.02,0.619,31897.5,0.889,1,1,531.625
ExoPlayer,201502,2,0.076,0.018,0.649,26902.875,0.615,1,2,448.38125
ExoPlayer,201503,3,0.087,0.02,0.613,40327.4,0.556,1,3,672.1233333
ExoPlayer,201504,4,0.05,0.013,0.528,46193.444,0.643,1,4,769.8907333
ExoPlayer,201505,5,0.055,0.011,0.577,40286.438,2,1,5,671.4406333
ExoPlayer,201506,6,0.061,0.017,0.636,48669,0.875,1,6,811.15
ExoPlayer,201507,7,0.078,0.029,0.697,27936.455,0.786,1,7,465.6075833
ExoPlayer,201508,8,0.146,0.03,0.659,22142.667,0.474,1,8,369.04445
ExoPlayer,201509,9,0.09,0.017,0.566,44265.8,1.25,1,9,737.7633333
ExoPlayer,201510,10,0.086,0.013,0.685,46966.765,1.063,1,10,782.7794167
ExoPlayer,201511,11,0.144,0.02,0.676,27806.167,0.632,1,11,463.4361167
ExoPlayer,201512,12,0.104,0.026,0.726,24796.231,0.765,1,12,413.2705167
ExoPlayer,201601,13,0.123,0.05,0.679,35752,0.88,1,13,595.8666667
ExoPlayer,201602,14,0.153,0.039,0.806,38723.583,0.667,1,14,645.39305
ExoPlayer,201603,15,0.151,0.066,0.779,35929.208,0.96,1,15,598.8201333
ExoPlayer,201604,16,0.133,0.069,0.794,35301.8,0.938,1,16,588.3633333
ExoPlayer,201605,17,0.125,0.04,0.832,35580.526,0.95,1,17,593.0087667
ExoPlayer,201606,18,0.042,0.022,0.414,26309,1.278,1,18,438.4833333
ExoPlayer,201607,19,0.115,0.046,0.495,39817.75,0.889,1,19,663.6291667
ExoPlayer,201608,20,0.094,0.042,0.606,35929.318,1.222,1,20,598.8219667
ExoPlayer,201609,21,0.1,0.049,0.646,30119.75,0.842,1,21,501.9958333
ExoPlayer,201610,22,0.102,0.054,0.682,33538.167,0.706,1,22,558.96945
ExoPlayer,201611,23,0.095,0.058,0.685,37213,1.19,1,23,620.2166667
ExoPlayer,201612,24,0.104,0.042,0.712,27200.727,0.825,1,24,453.34545
ExoPlayer,201701,25,0.107,0.042,0.702,33388.917,1.5,1,25,556.48195
ExoPlayer,201702,26,0.152,0.039,0.649,43513.222,0.947,1,26,725.2203667
ExoPlayer,201703,27,0.111,0.061,0.666,30262.846,0.788,1,27,504.3807667
ExoPlayer,201704,28,0.16,0.032,0.699,47921.471,0.85,1,28,798.6911833
